	ID	Name	Name	ID	Count
1	20552	Example Product 20552	Los Angeles CA	4	5,380
2	28305	Example Product 28305	Chicago IL	2	3,406
3	13596	Example Product 13596	Chicago IL	2	3,232
4	23641	Example Product 23641	Port Authority of New York/New Jersey NY/NJ	6	2,875
5	20547	Example Product 20547	Los Angeles CA	4	2,627
6	20542	Example Product 20542	Los Angeles CA	4	1,802
7	22699	Example Product 22699	Los Angeles CA	4	1,784
8	8263	Example Product 8263	Port Authority of New York/New Jersey NY/NJ	6	1,741
9	21659	Example Product 21659	Philadelphia PA	7	1,424
10	17082	Example Product 17082	Houston TX	3	1,255
11	13595	Example Product 13595	Savannah GA	10	1,208
12	22700	Example Product 22700	Los Angeles CA	4	1,208
13	16109	Example Product 16109	Chicago IL	2	1,066
14	28302	Example Product 28302	New Orleans LA	5	1,006
15	13603	Example Product 13603	New Orleans LA	5	975
16	22705	Example Product 22705	Charleston SC	9	853
17	28304	Example Product 28304	Houston TX	3	823
18	20551	Example Product 20551	Los Angeles CA	4	795
19	18068	Example Product 18068	Savannah GA	10	763
20	5709	Example Product 5709	Mobile AL	8	710
21	18052	Example Product 18052	Chicago IL	2	673
22	811	Example Product 811	Houston TX	3	665
23	21656	Example Product 21656	Philadelphia PA	7	643
24	4268	Example Product 4268	Los Angeles CA	4	602
25	98	Example Product 98	Memphis TN	1	598
26	16110	Example Product 16110	Chicago IL	2	595
27	2442	Example Product 2442	Memphis TN	1	593
28	21655	Example Product 21655	Philadelphia PA	7	590
29	12728	Example Product 12728	Los Angeles CA	4	585
30	18050	Example Product 18050	Charleston SC	9	571
31	18129	Example Product 18129	Houston TX	3	559
32	21654	Example Product 21654	Philadelphia PA	7	555
33	23650	Example Product 23650	Port Authority of New York/New Jersey NY/NJ	6	509
34	21662	Example Product 21662	Philadelphia PA	7	505
35	4283	Example Product 4283	New Orleans LA	5	504
36	25374	Example Product 25374	Savannah GA	10	490
37	20559	Example Product 20559	Los Angeles CA	4	488
38	18057	Example Product 18057	Philadelphia PA	7	487
39	7112	Example Product 7112	Philadelphia PA	7	484
